Height,lat,lon,IIiii,RR
19190,27.88333333,119.1833333,K9099,41
19190,27.88333333,119.1833333,K9099,64
19190,27.88333333,119.1833333,K9099,82
19190,27.88333333,119.1833333,K9099,74
19190,27.88333333,119.1833333,K9099,42
19190,27.88333333,119.1833333,K9099,53
19190,27.88333333,119.1833333,K9099,9
15059,30.35,119.4166667,K1446,38
15059,30.35,119.4166667,K1446,46
15059,30.35,119.4166667,K1446,40
15059,30.35,119.4166667,K1446,28
15059,30.35,119.4166667,K1446,73
15059,30.35,119.4166667,K1446,84
15059,30.35,119.4166667,K1446,64
14840,30.03333333,119,K1619,47
14840,30.03333333,119,K1619,43
14840,30.03333333,119,K1619,73
14840,30.03333333,119,K1619,45
14840,30.03333333,119,K1619,88
14840,30.03333333,119,K1619,125
14840,30.03333333,119,K1619,74
14810,27.9,119.1833333,K9081,32
14810,27.9,119.1833333,K9081,54
14810,27.9,119.1833333,K9081,105
14810,27.9,119.1833333,K9081,126
14810,27.9,119.1833333,K9081,88
14810,27.9,119.1833333,K9081,111
14810,27.9,119.1833333,K9081,21
14730,28.02,119.44,K7863,125
14730,28.02,119.44,K7863,193
14730,28.02,119.44,K7863,96
14730,28.02,119.44,K7863,28
14730,28.02,119.44,K7863,33
14730,28.02,119.44,K7863,23
14730,28.02,119.44,K7863,55
13834,28.78972,120.93333,K8654,0
13834,28.78972,120.93333,K8654,0
13834,28.78972,120.93333,K8654,0
13834,28.78972,120.93333,K8654,0
13834,28.78972,120.93333,K8654,0
13834,28.78972,120.93333,K8654,0
13834,28.78972,120.93333,K8654,0
13150,30.28333333,119.1166667,K1602,160
13150,30.28333333,119.1166667,K1602,100
13150,30.28333333,119.1166667,K1602,73
13150,30.28333333,119.1166667,K1602,126
13150,30.28333333,119.1166667,K1602,63
13150,30.28333333,119.1166667,K1602,240
13150,30.28333333,119.1166667,K1602,131
12650,28.65,119.1833333,K9007,43
12650,28.65,119.1833333,K9007,72
12650,28.65,119.1833333,K9007,121
12650,28.65,119.1833333,K9007,134
12650,28.65,119.1833333,K9007,107
12650,28.65,119.1833333,K9007,70
12650,28.65,119.1833333,K9007,80
12627,27.96056,120.2492,K3359,7
12627,27.96056,120.2492,K3359,4
12627,27.96056,120.2492,K3359,9
12627,27.96056,120.2492,K3359,1
12627,27.96056,120.2492,K3359,16
12627,27.96056,120.2492,K3359,3
12627,27.96056,120.2492,K3359,2
12470,28.06666667,118.8166667,K9025,14
12470,28.06666667,118.8166667,K9025,17
12470,28.06666667,118.8166667,K9025,24
12470,28.06666667,118.8166667,K9025,16
12470,28.06666667,118.8166667,K9025,8
12470,28.06666667,118.8166667,K9025,10
12470,28.06666667,118.8166667,K9025,19
12442,27.88333333,119.7666667,K9365,69
12442,27.88333333,119.7666667,K9365,24
12442,27.88333333,119.7666667,K9365,37
12442,27.88333333,119.7666667,K9365,33
12442,27.88333333,119.7666667,K9365,71
12442,27.88333333,119.7666667,K9365,89
12442,27.88333333,119.7666667,K9365,61
12290,27.78333333,119.2333333,K9305,17
12290,27.78333333,119.2333333,K9305,26
12290,27.78333333,119.2333333,K9305,34
12290,27.78333333,119.2333333,K9305,49
12290,27.78333333,119.2333333,K9305,35
12290,27.78333333,119.2333333,K9305,33
12290,27.78333333,119.2333333,K9305,16
12110,29.08333333,118.7,K7506,6
12110,29.08333333,118.7,K7506,9
12110,29.08333333,118.7,K7506,22
12110,29.08333333,118.7,K7506,12
12110,29.08333333,118.7,K7506,17
12110,29.08333333,118.7,K7506,73
12110,29.08333333,118.7,K7506,46
11920,29.21666667,119.65,K6061,51
11920,29.21666667,119.65,K6061,68
11920,29.21666667,119.65,K6061,20
11920,29.21666667,119.65,K6061,30
11920,29.21666667,119.65,K6061,51
11920,29.21666667,119.65,K6061,66
11920,29.21666667,119.65,K6061,58
11910,27.66666667,119,K9339,22
11910,27.66666667,119,K9339,10
11910,27.66666667,119,K9339,20
11910,27.66666667,119,K9339,36
11910,27.66666667,119,K9339,43
11910,27.66666667,119,K9339,6
11910,27.66666667,119,K9339,37
11790,28.46666667,120.2833333,K9104,116
11790,28.46666667,120.2833333,K9104,153
11790,28.46666667,120.2833333,K9104,130
11790,28.46666667,120.2833333,K9104,132
11790,28.46666667,120.2833333,K9104,156
