IIiii,Height,lat,lon,RR,RR_Totle,Z,,
K3053,1220,28.38333333,121.0166667,516.2,361.34,122,0,0
58653,13834,28.80972,120.9222,486.1428571,340.3,1383.4,1,0
K3122,2000,28.41666667,120.9666667,452,316.4,200,0,0
K3052,5070,28.44583,120.9336,445.6666667,311.9666667,507,1,0
K8274,1860,28.48611,121.0247,438,306.6,186,0,0
K3086,2420,28.45,121.0166667,437,305.9,242,1,0
K3313,7850,28.46666667,120.95,417.1666667,292.0166667,785,1,0
K8515,50,28.27833,121.2453,413.25,289.275,5,0,1
K8222,11440,28.58417,120.7997,405.4285714,283.8,1144,1,0
K3004,1030,28.36666667,121.1333333,396.7142857,277.7,103,0,0
K8640,6810,28.72917,120.9675,378.1428571,264.7,681,1,0
K8219,2430,28.5981,120.92483,373.1428571,261.2,243,1,0
K8518,270,28.22667,121.3333,372,260.4,27,0,1
K3014,4510,28.28639,120.9603,362.8333333,253.9833333,451,1,0
K3073,6030,28.5,120.75,359.8571429,251.9,603,1,0
K8209,2570,28.60583,120.8744,358.7142857,251.1,257,1,0
K2817,3830,29.3,121.2833333,355.7142857,249,383,1,0
K8208,1600,28.65211,121.01093,355.7142857,249,160,0,0
K8221,3940,28.53806,121.0739,354.8571429,248.4,394,1,0
K8512,260,28.21694,121.3014,350,245,26,0,1
K3185,2690,28.4,120.9,349.8571429,244.9,269,1,0
K3178,340,28.31666667,121.0166667,342.2857143,239.6,34,0,1
K3017,85,28.3925,121.2022,334,233.8,8.5,0,1
K8530,40,28.22222,121.3753,326.4285714,228.5,4,0,1
K8580,40,28.22222,121.3753,326.4285714,228.5,4,0,1
K3015,720,28.48333333,121.1166667,323.8571429,226.7,72,0,1
K3173,520,28.46666667,121.1666667,322.1428571,225.5,52,0,1
K8914,7510,28.61611,120.7961,317.1428571,222,751,1,0
K8949,8710,28.62583,120.8078,312,218.4,871,1,0
K8626,670,28.69,121.0728,307.8571429,215.5,67,0,1
K3357,4210,28.52194,121.1453,305.1428571,213.6,421,1,0
K8210,800,28.515366,121.008268,301.5714286,211.1,80,0,1
K3087,730,28.3133,121.2,301.1428571,210.8,73,0,1
K8270,9890,28.59833,120.82,301,210.7,989,1,0
K8271,5830,28.50778,120.8914,299.4285714,209.6,583,1,0
K8421,470,28.32944,121.3311,297.1428571,208,47,0,1
K2835,6020,29.26666667,121.2333333,296.2857143,207.4,602,1,0
K8225,1220,28.53722,120.9522,292.4285714,204.7,122,0,0
K3338,3820,28.3,120.85,289.2857143,202.5,382,1,0
K8282,1520,28.57167,120.9753,284.2857143,199,152,,
K8502,1460,28.16639,121.3717,283.7142857,198.6,146,,
K8585,2810,28.09167,121.2042,283.7142857,198.6,281,,
K8828,4160,29.02444,121.3881,281,196.7,416,,
K8583,70,28.10556,121.2369,279,195.3,7,,
K3265,170,28.26666667,121.1166667,277.2857143,194.1,17,,
K8272,1220,28.52722,120.9522,276.4285714,193.5,122,,
K3331,4690,28.51666667,120.8,273.2857143,191.3,469,,
K3365,5820,28.5525,120.7453,272.6666667,190.8666667,582,,
K8501,190,28.25694,121.2867,269.5714286,188.7,19,,
K2857,452,29.21666667,121.3166667,268,187.6,45.2,,
K8646,610,28.84833,121.3367,267.1428571,187,61,,
K4901,9310,29.36666667,121.1666667,266.4285714,186.5,931,,
K3337,2180,28.36666667,120.8666667,265.7142857,186,218,,
K8713,7590,29.24306,121.0519,265.7142857,186,759,,
