,Height,lat,lon,IIiii,RR
2577,19190,27.88333333,119.1833333,K9099,41
5508,19190,27.88333333,119.1833333,K9099,64
8448,19190,27.88333333,119.1833333,K9099,82
11381,19190,27.88333333,119.1833333,K9099,74
14306,19190,27.88333333,119.1833333,K9099,42
17227,19190,27.88333333,119.1833333,K9099,53
20154,19190,27.88333333,119.1833333,K9099,9
384,15059,30.35,119.4166667,K1446,38
3316,15059,30.35,119.4166667,K1446,46
6246,15059,30.35,119.4166667,K1446,40
9188,15059,30.35,119.4166667,K1446,28
12120,15059,30.35,119.4166667,K1446,73
15045,15059,30.35,119.4166667,K1446,84
17965,15059,30.35,119.4166667,K1446,64
425,14840,30.03333333,119,K1619,47
3357,14840,30.03333333,119,K1619,43
6287,14840,30.03333333,119,K1619,73
9229,14840,30.03333333,119,K1619,45
12161,14840,30.03333333,119,K1619,88
15086,14840,30.03333333,119,K1619,125
18006,14840,30.03333333,119,K1619,74
2564,14810,27.9,119.1833333,K9081,32
5495,14810,27.9,119.1833333,K9081,54
8435,14810,27.9,119.1833333,K9081,105
11368,14810,27.9,119.1833333,K9081,126
14293,14810,27.9,119.1833333,K9081,88
17214,14810,27.9,119.1833333,K9081,111
20141,14810,27.9,119.1833333,K9081,21
2172,14730,28.02,119.44,K7863,125
5104,14730,28.02,119.44,K7863,193
8044,14730,28.02,119.44,K7863,96
10977,14730,28.02,119.44,K7863,28
13904,14730,28.02,119.44,K7863,33
16825,14730,28.02,119.44,K7863,23
19753,14730,28.02,119.44,K7863,55
2369,13834,28.78972,120.93333,K8654,0
5300,13834,28.78972,120.93333,K8654,0
8240,13834,28.78972,120.93333,K8654,0
11173,13834,28.78972,120.93333,K8654,0
14099,13834,28.78972,120.93333,K8654,0
17019,13834,28.78972,120.93333,K8654,0
19947,13834,28.78972,120.93333,K8654,0
413,13150,30.28333333,119.1166667,K1602,160
3345,13150,30.28333333,119.1166667,K1602,100
6275,13150,30.28333333,119.1166667,K1602,73
9217,13150,30.28333333,119.1166667,K1602,126
12149,13150,30.28333333,119.1166667,K1602,63
15074,13150,30.28333333,119.1166667,K1602,240
17994,13150,30.28333333,119.1166667,K1602,131
2492,12650,28.65,119.1833333,K9007,43
5423,12650,28.65,119.1833333,K9007,72
8363,12650,28.65,119.1833333,K9007,121
11296,12650,28.65,119.1833333,K9007,134
14221,12650,28.65,119.1833333,K9007,107
17142,12650,28.65,119.1833333,K9007,70
20070,12650,28.65,119.1833333,K9007,80
1149,12627,27.96056,120.2492,K3359,7
4081,12627,27.96056,120.2492,K3359,4
7012,12627,27.96056,120.2492,K3359,9
9953,12627,27.96056,120.2492,K3359,1
12880,12627,27.96056,120.2492,K3359,16
15804,12627,27.96056,120.2492,K3359,3
18721,12627,27.96056,120.2492,K3359,2
2508,12470,28.06666667,118.8166667,K9025,14
5439,12470,28.06666667,118.8166667,K9025,17
8379,12470,28.06666667,118.8166667,K9025,24
11312,12470,28.06666667,118.8166667,K9025,16
14237,12470,28.06666667,118.8166667,K9025,8
17158,12470,28.06666667,118.8166667,K9025,10
20086,12470,28.06666667,118.8166667,K9025,19
2813,12442,27.88333333,119.7666667,K9365,69
5744,12442,27.88333333,119.7666667,K9365,24
8684,12442,27.88333333,119.7666667,K9365,37
11617,12442,27.88333333,119.7666667,K9365,33
14542,12442,27.88333333,119.7666667,K9365,71
17461,12442,27.88333333,119.7666667,K9365,89
20389,12442,27.88333333,119.7666667,K9365,61
2753,12290,27.78333333,119.2333333,K9305,17
5684,12290,27.78333333,119.2333333,K9305,26
8624,12290,27.78333333,119.2333333,K9305,34
11557,12290,27.78333333,119.2333333,K9305,49
14482,12290,27.78333333,119.2333333,K9305,35
17401,12290,27.78333333,119.2333333,K9305,33
20329,12290,27.78333333,119.2333333,K9305,16
2152,12110,29.08333333,118.7,K7506,6
5084,12110,29.08333333,118.7,K7506,9
8024,12110,29.08333333,118.7,K7506,22
10957,12110,29.08333333,118.7,K7506,12
13884,12110,29.08333333,118.7,K7506,17
16805,12110,29.08333333,118.7,K7506,73
19733,12110,29.08333333,118.7,K7506,46
1782,11920,29.21666667,119.65,K6061,51
4715,11920,29.21666667,119.65,K6061,68
7655,11920,29.21666667,119.65,K6061,20
10587,11920,29.21666667,119.65,K6061,30
13514,11920,29.21666667,119.65,K6061,51
16437,11920,29.21666667,119.65,K6061,66
19363,11920,29.21666667,119.65,K6061,58
2787,11910,27.66666667,119,K9339,22
5718,11910,27.66666667,119,K9339,10
8658,11910,27.66666667,119,K9339,20
11591,11910,27.66666667,119,K9339,36
14516,11910,27.66666667,119,K9339,43
17435,11910,27.66666667,119,K9339,6
20363,11910,27.66666667,119,K9339,37
