,lat,lon,IIiii,RR
0,28.65472,121.4189,K8001,90
1,28.71889,121.9156,K8002,43
2,28.638986,121.3521,K8003,84
3,29.15,120.95,K8082,0
4,28.67805,121.4467,K8101,88
5,28.69667,121.4897,K8103,109
6,28.75389,121.4047,K8104,74
7,28.70806,121.3967,K8106,112
8,28.59306,121.4592,K8107,64
9,28.73028,121.4508,K8108,94
10,28.61944,121.5092,K8109,41
11,28.49639,121.9056,K8110,43
12,28.69444,121.4744,K8111,56
13,28.66417,121.4556,K8112,119
14,28.64,121.5019,K8113,67
15,28.61722,121.522441,K8114,73
16,28.59028,121.3997,K8115,87
17,28.60861,121.8156,K8116,37
18,28.45333,121.8894,K8117,0
19,28.68333,121.375,K8118,132
20,28.67805,121.5119,K8120,0
21,28.70583,121.4325,K8191,130
22,28.6525,121.28,K8201,85
23,28.59167,120.9753,K8202,45
24,28.54806,121.1744,K8203,119
25,28.61028,121.0614,K8204,101
26,28.67417,121.1369,K8205,128
27,28.53583,120.9131,K8206,43
28,28.67444,120.9375,K8207,99
29,28.65211,121.01093,K8208,64
30,28.60583,120.8744,K8209,111
31,28.515366,121.008268,K8210,163
32,28.6903,121.3275,K8212,101
33,28.54972,121.2781,K8213,100
34,28.58444,121.2314,K8214,129
35,28.68139,121.2067,K8215,121
36,28.595,121.1314,K8216,156
37,28.63222,121.1736,K8217,95
38,28.66945,121.2539,K8218,86
39,28.5981,120.92483,K8219,59
40,28.63056,121.0978,K8220,109
41,28.53806,121.0739,K8221,209
42,28.58417,120.7997,K8222,193
43,28.53722,120.9522,K8225,82
44,28.62472,121.2397,K8226,134
45,28.6125,121.2672,K8227,180
46,28.70555,121.3256,K8228,97
47,28.59833,120.82,K8270,177
48,28.50778,120.8914,K8271,98
49,28.52722,120.9522,K8272,78
50,28.48611,121.0247,K8274,169
51,28.58167,120.9753,K8282,52
52,28.64278,121.1564,K8283,121
53,28.57528,121.3503,K8301,100
54,28.52778,121.4456,K8302,37
55,28.51583,121.4972,K8303,44
56,28.48386,121.62174,K8304,14
57,28.52611,121.5967,K8305,39
58,28.58556,121.3344,K8306,107
59,28.55528,121.4222,K8307,74
60,28.51194,121.4036,K8308,63
61,28.55445,121.4694,K8309,37
62,28.54861,121.3681,K8310,95
63,28.56083,121.33,K8311,93
64,28.50805,121.5872,K8312,42
65,28.56807,121.51892,K8313,48
66,28.48389,121.6217,K8314,14
67,28.56139,121.5944,K8315,23
68,28.55056,121.6422,K8316,12
69,28.61778,121.3067,K8317,153
70,28.56417,121.3083,K8318,95
71,28.56139,121.5944,K8319,29
72,28.45833,121.6653,K8320,30
73,28.52889,121.3761,K8321,82
74,28.55556,121.5392,K8322,17
75,28.34945,121.4606,K8401,61
76,28.52972,121.3078,K8402,122
77,28.49111,121.2411,K8403,123
78,28.37111,121.5664,K8404,53
79,28.32472,121.2611,K8405,157
80,28.4475,121.3258,K8406,75
81,28.24639,121.6039,K8407,22
82,28.47806,121.4594,K8408,40
83,28.42222,121.6081,K8409,36
84,28.28611,121.3994,K8410,51
85,28.38389,121.3003,K8411,0
86,28.39889,121.5228,K8412,43
87,28.45056,121.5589,K8413,41
88,28.49917,121.2019,K8414,110
89,28.4125,121.6617,K8415,36
90,28.41556,121.4511,K8416,55
91,28.42056,121.2528,K8417,91
92,28.32583,121.6189,K8419,66
93,28.36194,121.2825,K8420,91
94,28.32944,121.3311,K8421,158
95,28.48222,121.3236,K8422,89
96,28.41195,121.3767,K8423,61
97,28.45722,121.3997,K8424,20
98,28.23111,121.6356,K8425,134
99,28.41111,121.5644,K8426,51
100,28.46889,121.2619,K8427,81
101,28.48944,121.3794,K8429,63
102,28.39,121.3681,K8430,81
103,28.49694,121.3361,K8441,85
104,28.43611,121.4358,K8442,62
105,28.48944,121.4331,K8443,46
106,28.345,121.4997,K8444,72
107,28.43167,121.6581,K8445,34
108,28.325,121.4075,K8446,60
109,28.32778,121.4594,K8447,59
110,28.30389,121.6469,K8448,27
111,28.48333,121.56667,K8452,-9999
112,28.25694,121.2867,K8501,47
113,28.16639,121.3717,K8502,80
114,28.24389,121.3803,K8503,22
115,28.21,121.1575,K8504,0
116,28.12556,121.2369,K8505,91
117,28.09222,121.4039,K8506,122
118,28.09167,121.2042,K8507,69
119,28.08583,121.52,K8508,158
120,28.08833,121.1528,K8509,112
121,28.19611,121.3092,K8510,25
122,28.19833,121.2414,K8511,60
123,28.21694,121.3014,K8512,96
124,28.10611,121.36417,K8513,37
125,28.27833,121.2453,K8515,167
126,28.10306,121.1358,K8517,81
127,28.22667,121.3333,K8518,100
128,28.24806,121.2539,K8520,89
129,28.31528,121.3458,K8521,0
130,28.195,121.2103,K8522,96
131,28.1333,121.1333,K8526,0
132,28.11917,121.1981,K8527,79
133,28.2425,121.1392,K8528,0
134,28.22222,121.3753,K8530,108
135,28.22222,121.3753,K8580,108
136,28.31528,121.3458,K8581,123
137,28.10611,121.36417,K8582,62
138,28.10556,121.2369,K8583,93
139,28.19833,121.2414,K8584,44
140,28.09167,121.2042,K8585,80
141,28.21,121.1575,K8586,55
142,28.08583,121.52,K8587,135
143,28.09222,121.4039,K8588,122
144,28.2425,121.1392,K8589,0
145,28.76667,121.4869,K8601,164
146,28.75694,121.3186,K8602,65
147,28.89917,120.9047,K8603,22
148,28.92889,121.2622,K8604,141
149,29.00056,121.1142,K8605,45
150,28.7425,121.1011,K8606,93
151,28.795,121.1706,K8607,126
152,28.84,121.2647,K8608,143
153,28.85222,121.4519,K8609,135
154,28.83722,121.6631,K8610,39
155,28.71278,121.6378,K8611,57
156,28.87944,121.3731,K8613,172
157,28.95778,121.2133,K8614,147
158,28.79444,121.1206,K8615,106
159,28.74611,121.2358,K8616,95
160,28.90444,121.2022,K8617,0
161,28.87278,121.0231,K8618,86
162,28.97889,121.1494,K8619,111
163,28.80861,121.5797,K8620,70
164,28.69306,121.5456,K8621,91
165,28.87167,121.0797,K8622,96
166,28.98,120.9153,K8623,62
167,29.01528,120.9958,K8624,34
168,28.93361,121.0011,K8625,32
169,28.69,121.0728,K8626,103
170,28.69111,121.7594,K8627,18
171,28.91,120.8944,K8628,21
172,28.80972,121.8475,K8629,88
173,28.74306,121.8481,K8630,63
174,28.72917,120.9675,K8640,155
175,28.77222,121.1153,K8641,92
176,28.82444,121.2322,K8642,94
177,29.00028,120.9667,K8643,64
178,28.89333,121.3694,K8644,161
179,28.89333,121.3694,K8645,8
180,28.84833,121.3367,K8646,174
